ledger_account_code,journal_entry_type,reserve_movement_reason,commission_expense_posting_rule,written_premium_recognition_rule,accounting_reconciliation_reference,accrual_treatment_method,financial_reporting_classification,claim_reserve_control_flag,posting_effective_date
LEDGER_0001,ADJUSTMENT,HERE,CENTER,167695.25,RESPOND,PHYSIOTHERAPY,SIGNIFICANT,GLASS,2025-06-20
LEDGER_0002,ADJUSTMENT,MEDIA,MAINTAIN,175166.78,LIKE,CHEMOTHERAPY,HER,STAGE,2020-08-07
LEDGER_0003,CLAIM_RESERVE,MESSAGE,OK,151867.28,BOY,SURGERY,CONTINUE,RACE,2023-02-28
LEDGER_0004,CLAIM_RESERVE,BEAT,THOUGHT,241215.47,FAST,SURGERY,TOWN,THE,2019-03-11
LEDGER_0005,PREMIUM,VOTE,NOTHING,232292.9,DEBATE,MEDICATION,EVERYONE,SIMILAR,2025-07-16
LEDGER_0006,ADJUSTMENT,PRODUCE,BALL,235426.18,SHORT,PHYSIOTHERAPY,BAG,WAIT,2018-02-27
LEDGER_0007,PREMIUM,TIME,MOVEMENT,148432.37,PROGRAM,PHYSIOTHERAPY,ALLOW,TAX,2022-12-13
LEDGER_0008,PREMIUM,PARTICULAR,INTERVIEW,174601.06,SPECIFIC,CHEMOTHERAPY,PERFORMANCE,DIFFERENCE,2025-09-16
LEDGER_0009,PREMIUM,ALTHOUGH,OK,1992605.7999999998,EVER,SURGERY,OF,WALL,2022-08-04
LEDGER_0010,iCOMMISSION,MARRIAGE,READY,-133653.57,STAGE,CHEMOTHERAPY,CHURCH,HISTORY,1900-00-00
LEDGER_0011,iPREMIUM,DOG,VOTE,-126984.24,SPORT,CHEMOTHERAPY,PERFORM,SIGNIFICANT,2025-13-40
LEDGER_0012,PREMIUM,FILL,CENTER,212544.33,MAJORITY,MEDICATION,MORE,MRS,2018-10-09
LEDGER_0013,PREMIUM,INDUSTRY,HIMSELF,10894.733,MORNING,CHEMOTHERAPY,ACTION,RECOGNIZE,2020-01-13
LEDGER_0014,ADJUSTMENT,THUS,SURE,177119.85,POSITIVE,MEDICATION,RETURN,COMPANY,2024-06-10
LEDGER_0015,CLAIM_RESERVE,MY,CHALLENGE,183715.03,LIKE,CHEMOTHERAPY,COLLECTION,COUNTRY,2022-10-26
LEDGER_0016,ADJUSTMENT,OTHERS,RECEIVE,116753.57,TURN,CHEMOTHERAPY,CHILD,SIMPLY,2024-03-24
LEDGER_0017,COMMISSION,MEMBER,WRONG,213076.58,HER,SURGERY,AMOUNT,DISCUSS,2024-06-23
LEDGER_0018,iCOMMISSION,METHOD,EACH,-220526.16,AT,PHYSIOTHERAPY,EVERYTHING,HOPE,1900-00-00
LEDGER_0019,ADJUSTMENT,AND,RELATE,142892.56,DESIGN,MEDICATION,NATIONAL,WHATEVER,2024-09-24
LEDGER_0020,COMMISSION,HERSELF,IMPORTANT,81463.0,MANAGER,CHEMOTHERAPY,WHOSE,LOOK,2025-07-01
