health_product_code,health_plan_name,product_eligibility_rule,premium_calculation_rule,wellness_benefit_option,family_floater_option,critical_illness_extension_option,product_regulatory_class,network_provider_rule,cashless_authorization_rule
HLTH_PROD_001,iDenise Cruz,TODAY,-56386.0,MEAN,SUCH,KNOW,RANGE,VARIOUS,SUBJECT
HLTH_PROD_002,Casey Barber,YES,204330.06,THREE,COLLECTION,BODY,KEEP,WHICH,PERFORMANCE
HLTH_PROD_003,Mr. Jeffrey Carr,START,115615.51,HER,POPULATION,AIR,TRAVEL,RETURN,UP
HLTH_PROD_004,Valerie Anderson,WIFE,76992.53,METHOD,BUDGET,VERY,ITS,LET,ANY
HLTH_PROD_005,Matthew Smith,TROUBLE,19904.103000000003,RESOURCE,NETWORK,SPEAK,SIX,PART,SHAKE
HLTH_PROD_006,Vanessa Santiago,GROUND,57671.28,NATURAL,NECESSARY,RISE,SCHOOL,PRESENT,BEYOND
HLTH_PROD_007,Nicholas Olson,RECORD,68924.4,REQUIRE,PUT,IMAGE,CHURCH,THOSE,THE
HLTH_PROD_008,Victoria Brown,QUESTION,4908.932,WORLD,CLOSE,MOUTH,TIME,MANAGER,TOGETHER
HLTH_PROD_009,Christopher Walton MD,GIVE,82737.23,FALL,APPLY,MOVEMENT,DOG,OIL,QUESTION
HLTH_PROD_010,Robert Miller,LIFE,216223.88,SUDDENLY,PAGE,LINE,BEHAVIOR,TOUGH,MOMENT
HLTH_PROD_011,Bryan Jimenez,READY,241755.39,AFFECT,BOARD,INTERNATIONAL,ITSELF,ALSO,ONTO
HLTH_PROD_012,Samantha Conner,PRESENT,70502.12,PUBLIC,FLY,VOICE,MOVIE,OR,DESIGN
HLTH_PROD_013,iJoy Peterson,THAT,-160728.95,ARM,TECHNOLOGY,DOG,THREE,LOOK,GLASS
HLTH_PROD_014,Lisa Kennedy,REALIZE,100519.92,HIMSELF,SENSE,LOCAL,BUILD,BILL,SONG
HLTH_PROD_015,April Kelly,PROPERTY,245306.27,SUCH,FILM,OFFICER,NEARLY,HOUR,SCIENCE
HLTH_PROD_016,Steven Vasquez,TERM,134517.72,SERIES,SITUATION,SET,IT,BOTH,ENVIRONMENTAL
HLTH_PROD_017,Chelsea Conrad,INCREASE,234870.05,DINNER,LOT,THANK,STATION,CUT,SENSE
HLTH_PROD_018,iPeter Williams,PROPERTY,i29720.1,THIRD,REMEMBER,PER,CANDIDATE,SPORT,WAIT
HLTH_PROD_019,Matthew Blanchard,CENTER,242629.75,MOMENT,ABOVE,NICE,SIMPLY,ANYTHING,ON
HLTH_PROD_020,Sara Webb,MOVIE,45463.39,STATEMENT,WILL,WHETHER,COST,ROLE,PARTICULAR
