annuity_product_code,annuity_plan_name,product_eligibility_rule,premium_calculation_rule,retirement_income_option,survival_benefit_option,annuity_commencement_rule,product_regulatory_class,long_term_protection_feature,beneficiary_payout_option
LIFE_PROD_001,Cassandra Walters,ABOVE,2363176.8,LIVE,EYE,DETERMINE,SORT,STAFF,CONCERN
LIFE_PROD_002,Brooke Glover,STATE,1730638.9000000001,BEHAVIOR,CARRY,POSSIBLE,LEADER,PROPERTY,LAUGH
LIFE_PROD_003,Vincent Reyes,ALWAYS,38114.52,NONE,DECISION,SIDE,HOUR,ADDRESS,WAIT
LIFE_PROD_004,Roy Lee,REQUIRE,997.1010000000001,ABOVE,PRODUCE,SIMILAR,ENERGY,DRAW,RULE
LIFE_PROD_005,Emily Garcia,MOST,92934.78,PER,FOLLOW,COMPUTER,ATTENTION,THAN,ANSWER
LIFE_PROD_006,iEarl Luna,PICK,i138578.75,NEED,GREEN,LEADER,VIEW,RIGHT,CENTER
LIFE_PROD_007,Steven Howard,CUP,108016.89,COMMUNITY,YOURSELF,WHAT,WHY,TASK,INTERNATIONAL
LIFE_PROD_008,Danny Mercer,DEVELOPMENT,11415.39,SIMILAR,AGE,PERFORM,MOTHER,CONDITION,CANDIDATE
LIFE_PROD_009,Matthew Johnson,UNDER,91798.23,PUSH,ESPECIALLY,SPEND,NOR,PRICE,ANYTHING
LIFE_PROD_010,Amber Rodriguez,THINK,233338.91,AGAIN,ANYTHING,ROAD,BUSINESS,KEEP,LIFE
LIFE_PROD_011,Joshua Wells,CLAIM,243076.87,DESCRIBE,RUN,RICH,PROFESSOR,ACT,FISH
LIFE_PROD_012,iBrian Meyer,PREVENT,i10933.82,POLICE,SCHOOL,CERTAIN,KID,THEN,WAY
LIFE_PROD_013,Nathan Wilson,BUILD,90094.5,STILL,BORN,MODERN,DECIDE,POLITICS,DECISION
LIFE_PROD_014,Sandra Dudley,HELP,170834.61,SCORE,IT,FIND,COLLEGE,AMONG,OFFICIAL
LIFE_PROD_015,Daniel Fitzpatrick MD,ABLE,167066.42,ADD,REMAIN,BEHIND,WHAT,BRING,THING
LIFE_PROD_016,iKathleen Herring,STATE,i89065.98,MUCH,BAD,SEVERAL,SEVERAL,BLOOD,WEST
LIFE_PROD_017,David Hinton,FINE,140411.0,EVERYTHING,MAJORITY,APPLY,BLACK,TAX,CONTAIN
LIFE_PROD_018,Sarah Ward,RESEARCH,218803.47,FORM,LAST,SINGLE,BUSINESS,BEYOND,TODAY
LIFE_PROD_019,Amber Christian,RECORD,243485.42,RADIO,CONFERENCE,GET,HELP,WALL,LEFT
LIFE_PROD_020,Debra Quinn,HOTEL,187619.93,TEACHER,GUESS,COVER,BUILD,INSTITUTION,INSTEAD
