underwriting_rule_identifier,general_product_code,insured_asset_type,insured_asset_valuation_band,risk_score_threshold,risk_category,underwriting_decision,inspection_outcome_requirement,referral_status_trigger,theft_protection_requirement
GEN_UW_001,iFOUR,ADULT,IMPROVE,REPORT,BY,NOR,ACCORDING,INVALID_STATUS,PUT
GEN_UW_002,SERVICE,PRESENT,AT,SOMETHING,SKILL,PAY,ANSWER,ACTIVE,SCHOOL
GEN_UW_003,THUS,BABY,HELP,WITHOUT,MORNING,BORN,FIGURE,ACTIVE,STOP
GEN_UW_004,RICH,FISH,POLICY,BEFORE,FATHER,SOUTHERN,WITH,INACTIVE,LEFT
GEN_UW_005,I,INDICATE,TERM,RECENT,ALLOW,MATTER,CLOSE,ACTIVE,NONE
GEN_UW_006,DISCUSSION,CENTURY,SKIN,INCLUDE,STYLE,SUBJECT,TIME,INACTIVE,OFFER
GEN_UW_007,FIND,PROTECT,CHARGE,FIRE,RESEARCH,VERY,WHO,ACTIVE,STUFF
GEN_UW_008,iTRIAL,SHOULDER,RAISE,HOUR,ACTIVITY,ON,TWO,iACTIVE,ONE
GEN_UW_009,CHANCE,CANDIDATE,ANALYSIS,ACCEPT,PAGE,PICK,INDEED,INACTIVE,NOTE
GEN_UW_010,iOFFICER,YOUR,BED,FOCUS,DEVELOP,SMILE,SITE,iACTIVE,WELL
GEN_UW_011,SHE,GUY,DEVELOPMENT,ITSELF,WESTERN,RACE,TODAY,INACTIVE,MUSIC
GEN_UW_012,CHANGE,COLLEGE,CREATE,DO,PRACTICE,THEY,ENTIRE,ACTIVE,DAUGHTER
GEN_UW_013,BUILDING,COURSE,REMAIN,SUCCESSFUL,OUR,TOGETHER,ARM,INACTIVE,TODAY
GEN_UW_014,SOCIETY,WORK,OFTEN,MAIN,QUITE,OFTEN,BABY,INACTIVE,FILL
GEN_UW_015,REMAIN,AUDIENCE,ENOUGH,BILLION,DECADE,SHE,PARTNER,INACTIVE,MESSAGE
GEN_UW_016,GIVE,HEAVY,CAREER,REMAIN,REALITY,EASY,BLACK,INACTIVE,FEEL
GEN_UW_017,PRESIDENT,AVAILABLE,WE,DAUGHTER,FRIEND,MENTION,LITTLE,INACTIVE,GET
GEN_UW_018,PRACTICE,RECEIVE,FOLLOW,RULE,PATTERN,CLAIM,OTHERS,INACTIVE,OUR
GEN_UW_019,HIS,SYSTEM,FOUR,LATER,CONCERN,ABOVE,FORM,INACTIVE,EMPLOYEE
GEN_UW_020,STOCK,DO,SEEM,SISTER,PUT,LEAST,FACTOR,ACTIVE,THOUGH
