health_coverage_identifier,health_product_code,benefit_type,sum_insured_amount,deductible_amount,copay_percentage,room_rent_limit_amount,critical_illness_cover_indicator,exclusion_description,benefit_limit_rule
HLTH_COV_001,iCONSUMER,SIDE,i1421.13,231468.22,53.85,180138.07,TEACHER,CAREER,BODY
HLTH_COV_002,IMPACT,REALLY,18574.557,167986.5,36.42,18423.48,PLAN,POLICE,US
HLTH_COV_003,FUND,MOTHER,166395.18,83219.81,31.39,212155.8,UPON,IF,KID
HLTH_COV_004,POLITICS,WHOLE,180218.81,75780.24,30.93,102689.83,ROOM,SOUND,ENERGY
HLTH_COV_005,EYE,INFORMATION,101197.7,74618.15,12.73,105691.14,GUN,FINANCIAL,LOCAL
HLTH_COV_006,SUPPORT,CELL,235150.55,169652.17,90.28,154263.21,CERTAINLY,ITSELF,PLAY
HLTH_COV_007,SCENE,VARIOUS,75936.52,137436.37,0.04,72441.52,SMILE,MUSIC,FIRM
HLTH_COV_008,THREAT,SCIENCE,10804.215,145416.21,65.47,116782.06,OFFICER,TRADITIONAL,FORMER
HLTH_COV_009,iSEEK,SINCE,i111097.79,54211.65,47.32,225394.03,WORRY,ON,PROJECT
HLTH_COV_010,iDIRECTOR,DEEP,i199210.17,43253.16,8.48,129347.55,DETERMINE,PROBABLY,SEND
HLTH_COV_011,FILL,RIGHT,158602.27,84461.88,81.84,188033.4,HAIR,WILL,REMEMBER
HLTH_COV_012,CAUSE,SEE,168526.12,56935.53,19.91,7081.92,RATE,COULD,MOST
HLTH_COV_013,OCCUR,RULE,61965.79,119308.95,84.97,19134.23,PUBLIC,FUTURE,SEE
HLTH_COV_014,BUSINESS,SORT,104195.81,157811.58,19.44,174392.21,HE,OR,MEDIA
HLTH_COV_015,PASS,OWN,1240999.2,61752.13,65.61,2380.66,YES,REGION,SEE
HLTH_COV_016,KEY,REPRESENT,187990.15,192741.5,10.66,106861.4,SMALL,WALL,THOUGHT
HLTH_COV_017,NONE,FEELING,44795.78,239533.54,51.8,13504.38,UNDERSTAND,THROW,KNOWLEDGE
HLTH_COV_018,SYSTEM,ADD,63050.37,212235.75,45.65,200552.73,NECESSARY,BOTH,AGO
HLTH_COV_019,I,CHECK,167226.86,246985.22,59.55,237559.86,ARGUE,RELIGIOUS,ARRIVE
HLTH_COV_020,DECISION,EXAMPLE,222965.06,153550.43,71.93,126689.76,SOCIAL,STOCK,COLLEGE
